dataset,model,variant,variant_label,center,macro_auroc,macro_auprc,source,note
PN2021 clean,ResNet1D-Wang,vae_noaug,VAE-only noAug,georgia,0.8254064153845453,0.6175928091768926,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_resnet1d_wang_vae_noaug_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/georgia_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p3_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_noaugmix_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json,"new noAug fill, seed20260531"
PN2021 clean,ResNet1D-Wang,vae_augmix,VAE + AugMix,ningbo,0.8802004279822231,0.5052694846014094,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_resnet1d_wang_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/ningbo_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json,mainline VAE-LHAT AugMix branch
PN2021 clean,ResNet1D-Wang,vae_augmix,VAE + AugMix,chapman_shaoxing,0.8825652839752172,0.46874275143302435,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_resnet1d_wang_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/chapman_shaoxing_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json,mainline VAE-LHAT AugMix branch
PN2021 clean,ResNet1D-Wang,vae_augmix,VAE + AugMix,cpsc_2018,0.8742560149599973,0.6237744472208353,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_resnet1d_wang_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/cpsc_2018_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json,mainline VAE-LHAT AugMix branch
PN2021 clean,ResNet1D-Wang,vae_augmix,VAE + AugMix,georgia,0.8248937658229747,0.6151976738040075,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_resnet1d_wang_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/georgia_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json,mainline VAE-LHAT AugMix branch
PN2021 clean,Inception1D,direct,Direct fine-tune,ningbo,0.885342477034226,0.5293078075791946,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_inception1d_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/ningbo/runs/ningbo_K500_direct_ft_benchmark_inception1d_ep30_seed20260531_val0p2/eval_result_v7_super5_sjr_rgq_review_exclrefs_crop1000.json,mainline direct
PN2021 clean,Inception1D,direct,Direct fine-tune,chapman_shaoxing,0.8946749170486374,0.48971875097701834,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_inception1d_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/chapman_shaoxing/runs/chapman_shaoxing_K500_direct_ft_benchmark_inception1d_ep30_seed20260531_val0p2/eval_result_v7_super5_sjr_rgq_review_exclrefs_crop1000.json,mainline direct
PN2021 clean,Inception1D,direct,Direct fine-tune,cpsc_2018,0.8603836658831518,0.5987976942295244,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_inception1d_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/cpsc_2018/runs/cpsc_2018_K500_direct_ft_benchmark_inception1d_ep30_seed20260531_val0p2/eval_result_v7_super5_sjr_rgq_review_exclrefs_crop1000.json,mainline direct
PN2021 clean,Inception1D,direct,Direct fine-tune,georgia,0.8264118878642536,0.610233807262984,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_inception1d_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/georgia/runs/georgia_K500_direct_ft_benchmark_inception1d_ep30_seed20260531_val0p2/eval_result_v7_super5_sjr_rgq_review_exclrefs_crop1000.json,mainline direct
PN2021 clean,Inception1D,vae_noaug,VAE-only noAug,ningbo,0.885342477034226,0.5293078075791946,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_inception1d_vae_noaug_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/ningbo_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p3_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_noaugmix_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json,"new noAug fill, seed20260531"
PN2021 clean,Inception1D,vae_noaug,VAE-only noAug,chapman_shaoxing,0.8946749170486374,0.48971875097701834,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_inception1d_vae_noaug_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/chapman_shaoxing_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p3_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_noaugmix_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json,"new noAug fill, seed20260531"
PN2021 clean,Inception1D,vae_noaug,VAE-only noAug,cpsc_2018,0.8834129281617634,0.6373216806802738,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_inception1d_vae_noaug_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/cpsc_2018_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p3_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_noaugmix_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json,"new noAug fill, seed20260531"
PN2021 clean,Inception1D,vae_noaug,VAE-only noAug,georgia,0.8278196927375195,0.6204709593784006,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_inception1d_vae_noaug_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/georgia_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p3_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_noaugmix_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json,"new noAug fill, seed20260531"
