run_id,model,variant,center,macro_auroc,macro_auprc,drop_all_zero_macro_auroc,drop_all_zero_macro_auprc,n_records,n_excluded_ref,effective_n,n_all_zero_labels,n_nonzero_labels,mapping_version,mapping_hash,eval_json
mainline_v7_k500_4gpu_20260605,Inception1D,vae_lhat,cpsc_2018,0.8830145370471824,0.6370557881251725,0.9366078708841564,0.8476685735041717,6377,500,6377,2131,4246,v7_super5_sjr_rgq_review_20260528,555ec85d5b51,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_inception1d_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/cpsc_2018_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json
mainline_v7_k500_4gpu_20260605,Inception1D,vae_lhat,georgia,0.8283785412329563,0.6216301471770176,0.839220041764625,0.7016167496266985,9844,500,9844,1631,8213,v7_super5_sjr_rgq_review_20260528,555ec85d5b51,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_inception1d_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/georgia_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json
mainline_v7_k500_4gpu_20260605,FCN-Wang,direct,ningbo,0.8735256958535192,0.4976728885019221,0.8945717605866281,0.6711559931353297,34405,500,34405,15662,18743,v7_super5_sjr_rgq_review_20260528,555ec85d5b51,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_fcn_wang_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/ningbo/runs/ningbo_K500_direct_ft_benchmark_fcn_wang_ep30_seed20260531_val0p2/eval_result_v7_super5_sjr_rgq_review_exclrefs_crop1000.json
mainline_v7_k500_4gpu_20260605,FCN-Wang,direct,chapman_shaoxing,0.8741451766734892,0.42808996252327586,0.8963052894940555,0.6093710864993074,9747,500,9747,4425,5322,v7_super5_sjr_rgq_review_20260528,555ec85d5b51,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_fcn_wang_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/chapman_shaoxing/runs/chapman_shaoxing_K500_direct_ft_benchmark_fcn_wang_ep30_seed20260531_val0p2/eval_result_v7_super5_sjr_rgq_review_exclrefs_crop1000.json
mainline_v7_k500_4gpu_20260605,FCN-Wang,direct,cpsc_2018,0.8321278207316403,0.5560885798474086,0.8884346477554711,0.7288299801403655,6377,500,6377,2131,4246,v7_super5_sjr_rgq_review_20260528,555ec85d5b51,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_fcn_wang_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/cpsc_2018/runs/cpsc_2018_K500_direct_ft_benchmark_fcn_wang_ep30_seed20260531_val0p2/eval_result_v7_super5_sjr_rgq_review_exclrefs_crop1000.json
mainline_v7_k500_4gpu_20260605,FCN-Wang,direct,georgia,0.8122480057082463,0.5920470155143807,0.819946232120606,0.6715701381487372,9844,500,9844,1631,8213,v7_super5_sjr_rgq_review_20260528,555ec85d5b51,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_fcn_wang_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/georgia/runs/georgia_K500_direct_ft_benchmark_fcn_wang_ep30_seed20260531_val0p2/eval_result_v7_super5_sjr_rgq_review_exclrefs_crop1000.json
mainline_v7_k500_4gpu_20260605,FCN-Wang,vae_lhat,ningbo,0.8735256958535192,0.4976728885019221,0.8945717605866281,0.6711559931353297,34405,500,34405,15662,18743,v7_super5_sjr_rgq_review_20260528,555ec85d5b51,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_fcn_wang_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/ningbo_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json
mainline_v7_k500_4gpu_20260605,FCN-Wang,vae_lhat,chapman_shaoxing,0.8741451766734892,0.42808996252327586,0.8963052894940555,0.6093710864993074,9747,500,9747,4425,5322,v7_super5_sjr_rgq_review_20260528,555ec85d5b51,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_fcn_wang_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/chapman_shaoxing_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json
mainline_v7_k500_4gpu_20260605,FCN-Wang,vae_lhat,cpsc_2018,0.8541199266009781,0.5934911187020888,0.9114761151182306,0.7911959925371775,6377,500,6377,2131,4246,v7_super5_sjr_rgq_review_20260528,555ec85d5b51,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_fcn_wang_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/cpsc_2018_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json
mainline_v7_k500_4gpu_20260605,FCN-Wang,vae_lhat,georgia,0.811832307731349,0.5993811225118754,0.8216548596234732,0.6822475989894695,9844,500,9844,1631,8213,v7_super5_sjr_rgq_review_20260528,555ec85d5b51,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_fcn_wang_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/georgia_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json
