variant,center,corruption,macro_auroc,macro_auprc,auroc_drop_vs_clean,auprc_drop_vs_clean,drop_all_zero_macro_auroc,drop_all_zero_macro_auprc,clean_macro_auroc,clean_macro_auprc,n_records,n_all_zero_labels,source_json
vae_augmix,ningbo,baseline_shift,0.9131573154449839,0.5945652443693556,0.00478072955751363,0.006223599814925818,0.9261750456025947,0.7236940549026544,0.9179380450024975,0.6007888441842815,34405,15662,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_augmix/ningbo/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_augmix,ningbo,random_leads_masking,0.8200756917346652,0.42407312392672064,0.09786235326783232,0.17671572025756083,0.8429865711174657,0.5983950347103238,0.9179380450024975,0.6007888441842815,34405,15662,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_augmix/ningbo/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_augmix,chapman_shaoxing,powerline_noise,0.734843260979744,0.35913508303140174,0.19124399034774098,0.22571745878379823,0.7461814471518894,0.49499817772251353,0.9260872513274849,0.5848525418152,9747,4425,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_augmix/chapman_shaoxing/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_augmix,chapman_shaoxing,emg_noise,0.8041963826990003,0.38258092001422195,0.12189086862848464,0.20227162180097802,0.8294516872770146,0.5295958081735248,0.9260872513274849,0.5848525418152,9747,4425,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_augmix/chapman_shaoxing/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_augmix,chapman_shaoxing,baseline_wander,0.8886010996188543,0.507724094119318,0.03748615170863068,0.07712844769588201,0.907157040577306,0.6373076341592174,0.9260872513274849,0.5848525418152,9747,4425,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_augmix/chapman_shaoxing/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_augmix,chapman_shaoxing,baseline_shift,0.9204847896811087,0.569465450886227,0.005602461646376233,0.015387090928972946,0.9290455315616104,0.666812146992125,0.9260872513274849,0.5848525418152,9747,4425,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_augmix/chapman_shaoxing/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_augmix,chapman_shaoxing,random_leads_masking,0.836290631805564,0.4091514499045988,0.08979661952192097,0.17570109191060118,0.8587478045494199,0.5627666681722321,0.9260872513274849,0.5848525418152,9747,4425,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_augmix/chapman_shaoxing/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_augmix,cpsc_2018,powerline_noise,0.7341296845326957,0.45250496515110217,0.15482409114213203,0.22247707349127466,0.7659208700797476,0.5945991730259402,0.8889537756748277,0.6749820386423768,6377,2131,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_augmix/cpsc_2018/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_augmix,cpsc_2018,emg_noise,0.7443257695589479,0.4492750002710815,0.14462800611587978,0.2257070383712953,0.7767041384166976,0.5753969020183022,0.8889537756748277,0.6749820386423768,6377,2131,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_augmix/cpsc_2018/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_augmix,cpsc_2018,baseline_wander,0.8755834613041511,0.6212178095652701,0.013370314370676595,0.05376422907710676,0.9157495257918956,0.7782322834039509,0.8889537756748277,0.6749820386423768,6377,2131,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_augmix/cpsc_2018/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_augmix,cpsc_2018,baseline_shift,0.8991034612422885,0.6962866804469353,-0.010149685567460764,-0.02130464180455849,0.9427601858942962,0.8567544030199002,0.8889537756748277,0.6749820386423768,6377,2131,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_augmix/cpsc_2018/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_augmix,cpsc_2018,random_leads_masking,0.8472292828578009,0.5863715946625412,0.04172449281702684,0.08861044397983564,0.8902063304621702,0.7543874226363362,0.8889537756748277,0.6749820386423768,6377,2131,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_augmix/cpsc_2018/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_augmix,georgia,powerline_noise,0.6954307552409464,0.49604250321136345,0.1862769275556766,0.22538235438086573,0.7027696118140814,0.5677483655991398,0.881707682796623,0.7214248575922292,9844,1631,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_augmix/georgia/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_augmix,georgia,emg_noise,0.7278624754680076,0.4914195873922708,0.1538452073286154,0.23000527019995837,0.7424347454053336,0.5710413958207503,0.881707682796623,0.7214248575922292,9844,1631,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_augmix/georgia/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_augmix,georgia,baseline_wander,0.842350149696426,0.660249634996429,0.03935753310019707,0.061175222595800216,0.8536474990218688,0.7308681064623973,0.881707682796623,0.7214248575922292,9844,1631,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_augmix/georgia/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_augmix,georgia,baseline_shift,0.8759635664024974,0.7123139780222507,0.005744116394125642,0.00911087956997847,0.8833273836997007,0.7730969858170756,0.881707682796623,0.7214248575922292,9844,1631,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_augmix/georgia/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_augmix,georgia,random_leads_masking,0.797394583468597,0.5802853233215507,0.084313099328026,0.1411395342706785,0.8055802868354817,0.6466666889789533,0.881707682796623,0.7214248575922292,9844,1631,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_augmix/georgia/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
